Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx.2.5,BbAv.2.5,BbMx.2.5.1,BbAv.2.5.1,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
E1,05/08/17,Wolves,Middlesbrough,1,0,H,1,0,H,D Bond,10,5,2,2,14,13,4,4,1,2,0,0,2.7,3.25,2.88,2.55,3.2,2.75,2.5,3.1,2.8,2.5,3,2.8,2.66,3.29,2.9,2.62,3.1,2.8,2.63,3.25,2.9,41,2.7,2.57,3.3,3.16,3,2.85,32,2.32,2.23,1.68,1.62,17,0,1.86,1.83,2.09,2.04,2.43,3.28,3.29
E1,06/08/17,Bolton,Leeds,2,3,A,1,3,A,S Hooper,10,11,4,5,9,14,6,8,1,0,0,0,3,3.4,2.5,2.8,3.25,2.45,2.75,3.15,2.5,2.8,3,2.5,2.89,3.33,2.64,2.9,3.2,2.5,2.88,3.3,2.5,39,3,2.82,3.4,3.22,2.65,2.53,36,2.24,2.14,1.76,1.68,16,0,2.11,2.03,1.88,1.83,3.38,3.32,2.36
E1,12/08/17,Barnsley,Ipswich,1,2,A,1,0,H,G Eltringham,25,9,10,2,11,14,11,7,1,2,0,0,2.55,3.3,3,2.45,3.2,2.85,2.4,3.15,2.85,2.45,3.1,2.9,2.5,3.33,3.08,2.6,3.1,2.8,2.55,3.25,3,41,2.6,2.47,3.33,3.2,3.08,2.92,39,2.16,2.06,1.81,1.74,17,-0.25,2.2,2.11,1.82,1.77,2.74,3.36,2.8
E1,12/08/17,Birmingham,Bristol City,2,1,H,1,1,D,D Bond,18,25,8,3,15,15,2,10,0,2,1,0,2.55,3.5,2.9,2.5,3.2,2.8,2.45,3.2,2.8,2.5,3.25,2.8,2.59,3.35,2.94,2.4,3.2,3,2.55,3.3,2.9,41,2.6,2.49,3.5,3.25,3,2.87,40,2.08,1.99,1.87,1.8,20,0,1.85,1.8,2.12,2.07,2.53,3.33,3.08
E1,12/08/17,Brentford,Nott'm Forest,3,4,A,1,2,A,J Linington,20,13,9,6,11,13,12,3,1,3,0,0,1.85,3.75,4.5,1.8,3.4,4.5,1.8,3.7,4,1.83,3.7,4,1.85,3.87,4.41,1.8,3.5,4,1.87,3.8,4.33,41,1.87,1.83,3.87,3.72,4.5,4.14,36,1.7,1.66,2.27,2.18,19,-0.5,1.86,1.82,2.11,2.04,1.74,4.02,5.08
E1,12/08/17,Cardiff,Aston Villa,3,0,H,1,0,H,T Robinson,15,10,12,1,9,9,4,7,0,1,0,0,2.7,3.2,2.9,2.55,3.2,2.75,2.5,3.05,2.8,2.62,3,2.8,2.65,3.17,3.01,2.7,3,2.8,2.7,3.2,2.9,41,2.7,2.6,3.2,3.08,3.01,2.87,35,2.49,2.37,1.6,1.56,18,0,1.88,1.83,2.08,2.03,2.57,3.18,3.15
E1,12/08/17,Derby,Wolves,0,2,A,0,1,A,L Probert,13,12,3,3,6,10,10,5,0,0,0,0,2.4,3.25,3.3,2.2,3.2,3.3,2.25,3,3.25,2.35,3,3.25,2.39,3.15,3.46,2.3,3.2,3.2,2.4,3.2,3.4,41,2.4,2.33,3.3,3.1,3.5,3.28,35,2.6,2.44,1.57,1.52,19,-0.25,2.05,2,1.91,1.86,2.58,3.14,3.18
E1,12/08/17,Hull,Burton,4,1,H,1,1,D,D England,27,6,11,2,13,6,5,2,2,1,0,1,1.67,3.8,6,1.6,3.9,5.25,1.6,3.7,5.25,1.61,3.7,5.75,1.65,3.95,6.1,1.62,3.6,6,1.67,3.8,6,41,1.7,1.63,3.95,3.76,6.1,5.59,39,2.13,2.03,1.85,1.76,19,-0.75,1.86,1.82,2.11,2.04,1.77,3.78,5.27
E1,12/08/17,Leeds,Preston,0,0,D,0,0,D,S Duncan,12,9,4,1,14,14,6,4,1,1,0,1,2.05,3.5,4,2.05,3.25,3.6,2,3.25,3.65,2,3.25,3.8,2.07,3.44,3.98,2.05,3.3,3.75,2.05,3.4,4,41,2.07,2.04,3.5,3.34,4,3.76,39,2.2,2.09,1.79,1.71,19,-0.5,2.08,2.03,1.87,1.83,2.02,3.6,4.04
E1,12/08/17,Middlesbrough,Sheffield United,1,0,H,1,0,H,P Bankes,15,7,2,3,19,11,4,3,1,1,0,0,1.91,3.5,4.75,1.85,3.4,4.25,1.85,3.3,4.25,1.83,3.3,4.5,1.88,3.38,5.02,1.83,3.4,4.5,1.91,3.5,4.6,41,1.91,1.87,3.5,3.36,5.02,4.5,37,2.29,2.19,1.71,1.65,19,-0.5,1.9,1.87,2.04,1.99,2,3.34,4.52
E1,12/08/17,Millwall,Bolton,1,1,D,0,0,D,A Davies,14,5,8,2,14,16,4,0,2,3,0,0,2.1,3.4,4,2,3.25,3.75,1.95,3.3,3.75,2,3.3,3.8,2.02,3.49,4.1,2,3.3,3.8,2.05,3.4,3.9,40,2.1,2.02,3.5,3.35,4.1,3.79,39,2.13,2.05,1.81,1.74,19,-0.5,2.05,2.01,1.9,1.85,1.9,3.46,4.88
E1,12/08/17,Reading,Fulham,1,1,D,0,0,D,S Hooper,23,6,6,3,18,7,9,3,3,1,0,1,3.75,3.75,2.05,3.5,3.5,2,3.35,3.55,2,3.4,3.6,2,3.61,3.72,2.09,3.3,3.5,2.1,3.5,3.75,2.1,41,3.75,3.46,3.75,3.59,2.1,2.05,36,1.69,1.64,2.26,2.2,19,0.5,1.85,1.82,2.09,2.05,3.68,3.52,2.16
E1,12/08/17,Sheffield Weds,QPR,1,1,D,0,1,A,C Kavanagh,14,10,4,4,10,16,4,1,0,3,0,0,1.83,3.6,5,1.75,3.5,4.6,1.75,3.5,4.4,1.8,3.5,4.6,1.86,3.52,4.9,1.8,3.5,4.5,1.8,3.6,4.8,41,1.87,1.81,3.6,3.5,5,4.56,40,2.12,2.03,1.84,1.76,19,-0.5,1.86,1.8,2.11,2.06,1.88,3.58,4.8
E1,13/08/17,Norwich,Sunderland,1,3,A,0,1,A,A Madley,14,9,3,5,16,18,13,1,0,1,0,0,1.85,3.75,4.5,1.8,3.6,4.25,1.8,3.55,4.15,1.8,3.6,4.33,1.81,3.88,4.62,1.8,3.5,4.5,1.85,3.75,4.6,39,1.86,1.82,3.88,3.64,4.62,4.31,37,1.96,1.87,2,1.91,20,-0.5,1.85,1.81,2.11,2.06,1.96,3.76,4.08
E1,15/08/17,Barnsley,Nott'm Forest,2,1,H,1,1,D,T Harrington,13,26,5,7,13,9,2,9,2,1,0,0,2.88,3.5,2.55,2.75,3.3,2.5,2.7,3.35,2.45,2.75,3.5,2.55,2.86,3.42,2.64,2.7,3.3,2.6,2.88,3.5,2.55,39,2.88,2.76,3.53,3.38,2.64,2.52,35,1.81,1.72,2.19,2.1,19,0,2.08,2.03,1.88,1.83,3.04,3.66,2.39
E1,15/08/17,Birmingham,Bolton,0,0,D,0,0,D,D England,10,12,0,2,13,8,7,4,1,1,0,0,1.91,3.4,4.75,1.8,3.4,4.6,1.85,3.3,4.2,1.91,3.4,4.5,1.93,3.45,4.74,1.91,3.3,4.33,1.83,3.5,4.5,39,1.96,1.89,3.5,3.36,4.75,4.38,37,2.25,2.14,1.74,1.69,20,-0.5,1.94,1.9,2.01,1.96,1.93,3.38,4.84
E1,15/08/17,Brentford,Bristol City,2,2,D,0,1,A,P Bankes,24,8,10,5,16,13,5,3,2,3,0,0,2.05,3.9,3.5,2.05,3.4,3.5,2,3.65,3.25,2.05,3.8,3.4,2.04,3.92,3.63,2,3.75,3.4,2.1,3.9,3.4,39,2.1,2.02,3.93,3.72,3.63,3.42,33,1.55,1.52,2.57,2.46,20,-0.5,2.07,2.03,1.89,1.84,2.36,3.75,3.03
E1,15/08/17,Cardiff,Sheffield United,2,0,H,1,0,H,L Mason,19,13,6,4,11,8,7,6,2,1,0,0,1.91,3.6,4.5,1.83,3.4,4.4,1.85,3.35,4.2,1.91,3.5,4.6,1.89,3.64,4.62,1.85,3.5,4.33,1.9,3.6,4.6,39,2,1.88,3.64,3.46,4.62,4.29,35,2.17,2.12,1.79,1.71,20,-0.5,1.95,1.86,2.07,2,1.9,3.51,4.78
E1,15/08/17,Derby,Preston,1,0,H,0,0,D,G Eltringham,15,9,5,4,14,15,4,4,2,3,0,0,2,3.4,4.33,1.91,3.4,4,1.95,3.25,3.85,2,3.4,4.2,1.99,3.52,4.29,2,3.25,4,2,3.4,4.2,39,2.05,1.98,3.52,3.35,4.33,4,37,2.19,2.12,1.78,1.71,20,-0.5,2,1.97,1.95,1.9,1.97,3.55,4.32
E1,15/08/17,Hull,Wolves,2,3,A,1,2,A,J Simpson,11,8,4,4,11,8,4,4,2,4,0,0,2.65,3.25,2.9,2.5,3.2,2.8,2.55,3.05,2.8,2.62,3.2,2.9,2.63,3.26,3,2.6,3.1,2.88,2.6,3.25,3,39,2.7,2.58,3.3,3.16,3,2.86,35,2.31,2.25,1.69,1.63,19,0,1.85,1.82,2.09,2.05,2.71,3.17,2.98
E1,15/08/17,Leeds,Fulham,0,0,D,0,0,D,D Bond,9,15,1,1,12,10,3,3,2,1,0,0,2.5,3.6,2.88,2.45,3.2,2.85,2.4,3.3,2.75,2.45,3.5,2.9,2.54,3.45,2.97,2.5,3.3,2.8,2.5,3.5,2.9,39,2.59,2.46,3.6,3.37,3,2.85,36,1.88,1.81,2.05,1.98,19,0,1.83,1.79,2.12,2.08,2.36,3.47,3.25
E1,15/08/17,Middlesbrough,Burton,2,0,H,1,0,H,T Robinson,16,3,6,0,10,12,3,7,1,2,0,1,1.45,4.5,8.5,1.45,4.25,6.75,1.45,4.1,6.75,1.5,4.25,7.5,1.47,4.52,8.33,1.44,4.2,8,1.45,4.33,8,39,1.5,1.46,4.52,4.28,8.5,7.44,38,2.01,1.91,1.94,1.88,18,-1.25,2.12,2.08,1.83,1.8,1.45,4.5,8.94
E1,15/08/17,Millwall,Ipswich,3,4,A,2,3,A,J Linington,23,8,6,4,17,19,8,3,1,4,0,0,2.1,3.4,3.9,2.1,3.2,3.5,2.05,3.15,3.7,2.1,3.25,3.9,2.02,3.46,4.19,2.1,3.1,3.8,2.05,3.4,4.1,39,2.1,2.05,3.46,3.28,4.2,3.83,34,2.31,2.24,1.72,1.63,19,-0.25,1.79,1.74,2.22,2.15,2.04,3.39,4.25
E1,15/08/17,Reading,Aston Villa,2,1,H,0,0,D,K Friend,14,10,5,3,9,10,4,1,2,2,0,0,2.9,3.2,2.7,2.75,3.2,2.55,2.7,3,2.65,2.87,3.1,2.75,2.87,3.2,2.78,2.8,3.1,2.62,2.9,3.2,2.7,39,2.92,2.8,3.2,3.1,2.78,2.67,33,2.49,2.37,1.62,1.57,19,0,2.02,1.98,1.93,1.89,3.03,3.27,2.6
E1,16/08/17,Norwich,QPR,2,0,H,0,0,D,O Langford,14,9,6,3,9,9,8,3,1,1,0,0,1.85,3.8,4.5,1.78,3.7,4.2,1.8,3.6,4.1,1.8,3.7,4.2,1.82,3.9,4.56,1.8,3.75,4.2,1.87,3.8,4.4,39,1.87,1.81,3.9,3.7,4.56,4.27,37,1.77,1.71,2.21,2.09,17,-0.75,2.09,2.05,1.85,1.81,1.74,4.13,4.9
E1,16/08/17,Sheffield Weds,Sunderland,1,1,D,0,1,A,S Martin,17,8,4,2,7,12,9,3,0,1,0,0,2.15,3.4,3.7,2,3.25,3.75,2.05,3.2,3.55,2.1,3.2,3.6,2.17,3.42,3.69,2.15,3.25,3.5,2.15,3.4,3.75,38,2.2,2.11,3.5,3.31,3.8,3.58,34,2.25,2.17,1.71,1.66,17,-0.25,1.85,1.81,2.1,2.05,2.32,3.37,3.42
E1,18/08/17,Burton,Birmingham,2,1,H,0,1,A,T Harrington,12,16,6,5,10,11,4,5,1,0,0,0,3,3.2,2.63,2.85,3.2,2.6,2.85,3.05,2.5,3,3.1,2.62,3.02,3.24,2.63,2.8,3.1,2.62,3,3.2,2.63,35,3.04,2.92,3.24,3.11,2.7,2.58,31,2.4,2.32,1.67,1.6,17,0,2.11,2.07,1.83,1.81,3.57,3.34,2.27
E1,19/08/17,Aston Villa,Norwich,4,2,H,2,0,H,J Simpson,20,9,8,3,14,11,3,3,1,3,0,0,2.4,3.4,3.2,2.3,3.2,3.1,2.3,3.2,3,2.35,3.25,3,2.42,3.37,3.17,2.4,3.1,3.1,2.45,3.3,3.13,35,2.45,2.37,3.4,3.25,3.25,3.04,33,2.04,1.97,1.9,1.81,15,-0.25,2.08,2.04,1.86,1.83,2.58,3.41,2.95
E1,19/08/17,Bolton,Derby,1,2,A,0,2,A,S Martin,7,10,1,2,12,10,3,2,2,1,0,0,3.6,3.4,2.2,3.4,3.25,2.15,3.5,3.15,2.1,3.6,3.1,2.15,3.75,3.36,2.17,3.6,3.3,2.1,3.75,3.4,2.15,35,3.75,3.53,3.4,3.25,2.25,2.14,30,2.31,2.2,1.71,1.64,15,0.25,2.09,2.03,1.87,1.83,3.71,3.4,2.19
E1,19/08/17,Bristol City,Millwall,0,0,D,0,0,D,D England,10,14,3,3,14,18,5,16,3,2,0,0,1.95,3.75,4,1.95,3.5,3.7,1.9,3.45,3.75,1.95,3.5,3.7,2.02,3.63,3.93,1.91,3.6,3.8,2,3.6,3.9,35,2.02,1.95,3.75,3.52,4,3.82,32,1.86,1.78,2.1,2.02,17,-0.5,2.02,1.96,1.95,1.91,2.03,3.67,3.86
E1,19/08/17,Fulham,Sheffield Weds,0,1,A,0,0,D,S Attwell,8,8,2,3,12,11,6,3,2,0,0,0,1.91,3.75,4.2,1.85,3.6,4,1.9,3.5,3.75,1.95,3.5,3.7,2,3.66,3.98,1.95,3.4,4,1.91,3.75,3.9,35,2,1.93,3.75,3.54,4.2,3.88,32,1.87,1.78,2.12,2.01,17,-0.5,2,1.95,1.96,1.91,1.91,3.7,4.44
E1,19/08/17,Ipswich,Brentford,2,0,H,1,0,H,O Langford,5,22,3,6,14,10,6,11,1,2,0,0,2.9,3.7,2.45,2.8,3.5,2.35,2.8,3.5,2.3,2.87,3.5,2.3,3.04,3.77,2.32,2.88,3.6,2.3,2.9,3.7,2.4,35,3.04,2.87,3.77,3.54,2.55,2.34,29,1.67,1.59,2.5,2.31,15,0,2.25,2.16,1.78,1.73,2.93,3.71,2.44
E1,19/08/17,Nott'm Forest,Middlesbrough,2,1,H,1,0,H,G Scott,11,17,3,7,5,22,5,5,2,4,0,0,3.2,3.3,2.45,3.25,3.25,2.2,3.05,3.2,2.3,3.2,3.2,2.3,3.17,3.34,2.43,3.2,3.2,2.3,3,3.3,2.55,35,3.28,3.06,3.35,3.24,2.55,2.36,33,2.13,2.03,1.84,1.77,15,0.25,1.86,1.8,2.16,2.07,2.89,3.37,2.65
E1,19/08/17,Preston,Reading,1,0,H,1,0,H,A Madley,21,7,8,1,17,18,4,5,2,3,0,0,2.3,3.4,3.4,2.15,3.2,3.4,2.15,3.25,3.2,2.2,3.3,3.3,2.21,3.51,3.47,2.3,3.2,3.2,2.25,3.3,3.4,35,2.3,2.21,3.51,3.3,3.47,3.28,33,2.06,1.98,1.91,1.8,15,-0.25,1.95,1.9,2,1.96,2.24,3.54,3.45
E1,19/08/17,QPR,Hull,2,1,H,0,1,A,J Linington,11,12,5,6,17,14,11,5,3,3,0,0,2.63,3.3,2.9,2.45,3.25,2.8,2.5,3.15,2.8,2.55,3.2,2.8,2.6,3.34,2.93,2.62,3.1,2.8,2.63,3.3,2.9,35,2.63,2.55,3.34,3.19,2.94,2.82,32,2.2,2.09,1.79,1.71,16,0,1.87,1.84,2.1,2.03,2.48,3.4,3.1
E1,19/08/17,Sheffield United,Barnsley,1,0,H,1,0,H,T Robinson,18,11,6,1,7,10,12,2,3,3,1,1,1.8,3.75,5,1.7,3.6,5,1.7,3.65,4.45,1.75,3.7,4.5,1.78,3.92,4.84,1.75,3.5,5,1.8,3.8,4.75,35,1.8,1.75,3.92,3.67,5,4.67,32,1.83,1.75,2.14,2.04,15,-0.75,2.03,1.98,1.95,1.88,1.7,4.1,5.35
E1,19/08/17,Sunderland,Leeds,0,2,A,0,1,A,A Davies,12,8,1,5,13,9,7,4,3,1,0,0,2.25,3.4,3.5,2.15,3.4,3.2,2.15,3.25,3.25,2.15,3.2,3.4,2.23,3.43,3.51,2.25,3.3,3.2,2.25,3.3,3.5,35,2.3,2.2,3.45,3.3,3.51,3.31,32,2.13,2.02,1.85,1.77,17,-0.25,1.95,1.9,2.01,1.97,2.2,3.45,3.64
E1,19/08/17,Wolves,Cardiff,1,2,A,0,0,D,S Duncan,12,17,3,5,14,13,2,4,2,4,0,0,2.05,3.5,4,1.95,3.5,3.75,1.95,3.3,3.8,2,3.2,3.9,2.04,3.42,4.12,2,3.25,4,2.05,3.5,4,35,2.05,1.99,3.5,3.33,4.13,3.88,32,2.25,2.14,1.75,1.69,17,-0.5,2.05,2,1.92,1.87,2.08,3.39,4.1
