country,last_update,url,league_code,season_code,file_code,file_name
England,04/03/19,http://www.football-data.co.uk/mmz4281/0405/E0.csv,E0,0405,E0_0405,C:/R Projects/football-data/raw_data/E0_0405.csv
England,04/03/19,http://www.football-data.co.uk/mmz4281/0405/E1.csv,E1,0405,E1_0405,C:/R Projects/football-data/raw_data/E1_0405.csv
England,04/03/19,http://www.football-data.co.uk/mmz4281/0405/E2.csv,E2,0405,E2_0405,C:/R Projects/football-data/raw_data/E2_0405.csv
England,04/03/19,http://www.football-data.co.uk/mmz4281/0405/E3.csv,E3,0405,E3_0405,C:/R Projects/football-data/raw_data/E3_0405.csv
England,04/03/19,http://www.football-data.co.uk/mmz4281/0304/E0.csv,E0,0304,E0_0304,C:/R Projects/football-data/raw_data/E0_0304.csv
England,04/03/19,http://www.football-data.co.uk/mmz4281/0304/E1.csv,E1,0304,E1_0304,C:/R Projects/football-data/raw_data/E1_0304.csv
England,04/03/19,http://www.football-data.co.uk/mmz4281/0304/E2.csv,E2,0304,E2_0304,C:/R Projects/football-data/raw_data/E2_0304.csv
England,04/03/19,http://www.football-data.co.uk/mmz4281/0304/E3.csv,E3,0304,E3_0304,C:/R Projects/football-data/raw_data/E3_0304.csv
England,04/03/19,http://www.football-data.co.uk/mmz4281/0203/E0.csv,E0,0203,E0_0203,C:/R Projects/football-data/raw_data/E0_0203.csv
England,04/03/19,http://www.football-data.co.uk/mmz4281/0203/E1.csv,E1,0203,E1_0203,C:/R Projects/football-data/raw_data/E1_0203.csv
England,04/03/19,http://www.football-data.co.uk/mmz4281/0203/E2.csv,E2,0203,E2_0203,C:/R Projects/football-data/raw_data/E2_0203.csv
England,04/03/19,http://www.football-data.co.uk/mmz4281/0203/E3.csv,E3,0203,E3_0203,C:/R Projects/football-data/raw_data/E3_0203.csv
England,04/03/19,http://www.football-data.co.uk/mmz4281/0102/E0.csv,E0,0102,E0_0102,C:/R Projects/football-data/raw_data/E0_0102.csv
England,04/03/19,http://www.football-data.co.uk/mmz4281/0102/E1.csv,E1,0102,E1_0102,C:/R Projects/football-data/raw_data/E1_0102.csv
England,04/03/19,http://www.football-data.co.uk/mmz4281/0102/E2.csv,E2,0102,E2_0102,C:/R Projects/football-data/raw_data/E2_0102.csv
England,04/03/19,http://www.football-data.co.uk/mmz4281/0102/E3.csv,E3,0102,E3_0102,C:/R Projects/football-data/raw_data/E3_0102.csv
England,04/03/19,http://www.football-data.co.uk/mmz4281/0001/E0.csv,E0,0001,E0_0001,C:/R Projects/football-data/raw_data/E0_0001.csv
England,04/03/19,http://www.football-data.co.uk/mmz4281/0001/E1.csv,E1,0001,E1_0001,C:/R Projects/football-data/raw_data/E1_0001.csv
England,04/03/19,http://www.football-data.co.uk/mmz4281/0001/E2.csv,E2,0001,E2_0001,C:/R Projects/football-data/raw_data/E2_0001.csv
